symbol,ts,open,high,low,close,volume,timeframe
AAPL,2026-04-01 13:30:00,253.9,256.17,253.9,254.17,749139.0,1m
AAPL,2026-04-01 13:31:00,254.23,254.46,253.82,253.89,91031.0,1m
AAPL,2026-04-01 13:32:00,253.91,254.84,253.84,254.81,109887.0,1m
AAPL,2026-04-01 13:33:00,254.81,254.84,254.47,254.76,130668.0,1m
AAPL,2026-04-01 13:34:00,254.73,254.96,254.62,254.76,69168.0,1m
AAPL,2026-04-01 13:35:00,254.79,255.07,254.75,254.84,91072.0,1m
AAPL,2026-04-01 13:36:00,254.84,255.07,254.79,255.01,83237.0,1m
AAPL,2026-04-01 13:37:00,254.99,255.32,254.69,255.11,89571.0,1m
AAPL,2026-04-01 13:38:00,255.14,255.26,254.92,254.96,60281.0,1m
AAPL,2026-04-01 13:39:00,254.89,255.1,254.67,255.06,88573.0,1m
AAPL,2026-04-01 13:40:00,255.05,255.44,255.03,255.27,105397.0,1m
AAPL,2026-04-01 13:41:00,255.27,255.59,255.22,255.4,93500.0,1m
AAPL,2026-04-01 13:42:00,255.42,255.58,254.94,255.01,99618.0,1m
AAPL,2026-04-01 13:43:00,254.99,255.22,254.69,255.12,74595.0,1m
AAPL,2026-04-01 13:44:00,255.13,255.58,255.09,255.54,85969.0,1m
AAPL,2026-04-01 13:45:00,255.55,255.82,255.37,255.64,95790.0,1m
AAPL,2026-04-01 13:46:00,255.59,255.66,255.45,255.59,85875.0,1m
AAPL,2026-04-01 13:47:00,255.56,255.56,255.17,255.17,47818.0,1m
AAPL,2026-04-01 13:48:00,255.21,255.65,255.2,255.48,88317.0,1m
AAPL,2026-04-01 13:49:00,255.47,255.55,255.32,255.47,57063.0,1m
AAPL,2026-04-01 13:50:00,255.46,255.46,255.09,255.34,50112.0,1m
AAPL,2026-04-01 13:51:00,255.34,255.46,255.05,255.12,46483.0,1m
AAPL,2026-04-01 13:52:00,255.11,255.12,254.69,254.82,62877.0,1m
AAPL,2026-04-01 13:53:00,254.86,254.95,254.57,254.7,47979.0,1m
AAPL,2026-04-01 13:54:00,254.7,254.84,254.54,254.55,30964.0,1m
AAPL,2026-04-01 13:55:00,254.52,254.98,254.49,254.95,67400.0,1m
AAPL,2026-04-01 13:56:00,254.95,254.97,254.62,254.63,34506.0,1m
